OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO,
13,4.898206043,52.37437875,"Oudekerksplein 23, 1012 GX Amsterdam, Nederland",Oude Kerk,1,1,1,"The oldest building in Amsterdam, a medieval church that was built in the 13th century and now serves as a venue for concerts, exhibitions, and other cultural events.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/35/Amsterdam_oude_kerk2.jpg,
14,4.915963517,52.36625998,"Plantage Kerklaan 38-40, 1018 CZ Amsterdam, Nederland",Artis,1,1,0,"A zoo that features a wide variety of animals from around the world, as well as a planetarium, aquarium, and other attractions.",outdoor,https://www.artis.nl/media/filer_public_thumbnails/filer_public/67/61/67614d4a-b415-4983-84b4-e77ffc8b45e8/artis_hoofdentree_ingang_adelaars_r_1920x1080.jpg__1920x0_q85_subject_location-1023%2C731_subsampling-2.jpg,
15,4.895407884,52.35497842,"Sarphatipark 37I, 1073 CP Amsterdam, Nederland",Sarphatipark,0,1,1,"A large urban park that features walking paths, gardens, lakes, playgrounds, and various cultural events throughout the year.",outdoor,https://www.amsterdam.info/photos/content/presentation/1384295410-amsterdam-park-sarphati2.jpg,
16,4.852742283,52.37349982,"Jan van Galenstraat, Amsterdam, Nederland",Erasmuspark,1,1,1,"A park located in the center of Amsterdam, that provides a peaceful and quiet atmosphere for visitors to relax and enjoy nature.",outdoor,https://upload.wikimedia.org/wikipedia/commons/8/89/Erasmuspark7.jpg,
17,4.87370704,52.3904593,"Oostzaanstraat 45, 1013 WG Amsterdam, Nederland",Museum Het Schip,1,1,0,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://upload.wikimedia.org/wikipedia/commons/e/ec/Amsterdam_Het_Schip_006.JPG,
18,4.90230056,52.38375746,"IJpromenade 1, 1031 KT Amsterdam, Nederland",Eye Film Museum,1,1,0,"A museum that explores the history of Dutch cinema, with a collection of film-related artifacts, interactive exhibits, and an IMAX theater.",indoor,https://www.eyefilm.nl/uploads/images/blocks/_1200x630_crop_center-center_none/Eye-Filmmuseum-foto-Denis-Guzzo.jpg,
19,4.919909709,52.38543523,"Meeuwenlaan 88, 1021 JK Amsterdam, Nederland",WONDR Experience,1,1,0,"A family-friendly, interactive museum that features hands-on exhibits, games, and puzzles that encourage visitors to explore the world around",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ed/90/09/wondr-experience.jpg?w=1200&h=-1&s=1,
20,4.914723808,52.37176382,"Kattenburgerplein 1, 1018 KK Amsterdam, Nederland",The National Maritime Museum,1,1,0,"A museum that tells the story of the Netherlands and its relationship with the sea, with a focus on naval history, shipbuilding, and marine science.",indoor,https://upload.wikimedia.org/wikipedia/commons/4/48/EH1211481_National_Maritime_Museum_10_%28cropped%29.JPG,
21,4.894791038,52.37480204,"Damrak 66, 1012 LM Amsterdam, Nederland",BODY WORLDS Amsterdam,1,1,1,"An exhibition that features real human bodies and body parts, preserved through a process called plastination, to educate visitors about anatomy, health, and disease.",indoor,https://cdn.getyourguide.com/img/tour/5ed0c4e891ebe.jpeg/146.jpg,
22,4.897241843,52.37215012,"Oudezijds Achterburgwal 130, 1012 DT Amsterdam, Nederland",Hemp Gallery,1,1,1,"A gallery that showcases the history and culture of hemp, with a collection of hemp-related artifacts, interactive exhibits, and educational programs.",indoor,https://hashmuseum.com/wp-content/uploads/Hemp-Gallery-2021-mariacavali19-1920x1280.jpg,
23,4.90278178,52.36576475,"Amstel 51, 1018 DR Amsterdam, Nederland",Hermitage Amsterdam,1,1,0,"A branch of the State Hermitage Museum in St. Petersburg, Russia, that features temporary exhibitions of art and artifacts from the Hermitage's vast collection.",indoor,https://upload.wikimedia.org/wikipedia/commons/f/fb/Hermitage_Amsterdam_-_Ingang.JPG,
24,4.903813458,52.36711915,"Nieuwe Amstelstraat 1, 1011 PL Amsterdam, Nederland",Jewish Museum,1,1,0,"A museum that explores the history and culture of Amsterdam's Jewish community, with a collection of Jewish artifacts, art, and interactive exhibits.",indoor,https://images.adsttc.com/media/images/5afa/5636/f197/cc4f/c100/0011/newsletter/05.jpg?1526355503,
25,4.890264841,52.37361122,"Nieuwezijds Voorburgwal 182I, 1012 SJ Amsterdam, Nederland",Magna Plaza,1,1,0,"A shopping center located in a former post office building, that features a mix of high-end and affordable brands, as well as a rooftop terrace with views of the city.",indoor,https://app.thefeedfactory.nl/api/assets/5ff8818bde7e8633a4aa690c/38ea9568-0a56-49e0-aaa2-c73117b5139c.jpg,
26,4.891038456,52.37316712,"Nieuwezijds Voorburgwal 147, 1012 RJ Amsterdam, Nederland",Paleis op de Dam,0,1,1,"The Royal Palace of Amsterdam, a grand building that serves as the official residence of the Dutch royal family and is open to visitors.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/3e/Amsterdam_Royal_Palace_7299.jpg,
27,4.894674689,52.36652812,"Reguliersbreestraat 26-34, 1017 CN Amsterdam, Nederland",Pathe Tuschinski,1,1,0,A historic cinema that features Art Deco architecture and a mix of new and classic films.,indoor,https://upload.wikimedia.org/wikipedia/commons/e/ef/Pathe_Tuschinski.jpg,
28,4.896864408,52.36626534,"1017 CT Amsterdam, Nederland",Remrandtplein,1,1,1,"A square that is named after the famous Dutch painter Rembrandt, and is a popular spot for nightlife, dining, and entertainment.",outdoor,https://upload.wikimedia.org/wikipedia/commons/d/d7/NieuwRembrandtplein.JPG,
29,4.905631354,52.37201063,"Oudeschans 2, 1011 KX Amsterdam, Nederland",Montelbaanstoren,1,1,1,A 16th-century tower that is located on the banks of the River Amstel and offers panoramic views of the city.,outdoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/47/11/73/2nd.jpg?w=1200&h=1200&s=1,
30,4.9028,52.3517,"Stadhouderskade 78, 1072 AE Amsterdam, Netherlands",Heineken Experience,1,1,1,A brewery tour and interactive exhibition that explores the history and brewing process of the Heineken beer brand.,indoor,https://cdn.getyourguide.com/img/tour/b10d5d4a331d1abc.jpeg/97.jpg,
31,4.8908,52.3732,"Dam, 1012 NP Amsterdam, Netherlands",Dam Square,1,1,1,"A historic city square that serves as a central gathering place and tourist destination, featuring monuments, shopping, and street performers.",outdoor,https://www.holland.com/upload_mm/a/d/2/75359_fullimage_de%20dam%20amsterdam%20shutterstock_1461146753%20alena%20bahdanovich%20via%20shutterstock.jpg,
32,4.891,52.373,various locations throughout the city,Canals of Amsterdam,1,1,0,"A network of picturesque canals that crisscross the city, offering boat tours and scenic views of the city's architecture and landmarks.",outdoor,https://www.amsterdam.info/photos/content/tmb-horizontal/amsterdam-canal-cruises-types-300.jpg,
33,4.8688,52.3578,"1071 AA Amsterdam, Netherlands",Vondelpark,1,1,0,"A large urban park that features walking paths, gardens, lakes, playgrounds, and various cultural events throughout the year.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/3b/Amsterdam%2C_Vondelpark%2C_at_the_pond-2.jpg,
35,4.8788,52.3583,"Museumplein 10, 1071 DJ Amsterdam, Netherlands",Stedelijk Museum,1,1,1,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock and Salvador Dalí",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg,
36,4.9063,52.3657,"Waterlooplein 22, 1011 PG Amsterdam, Netherlands",The Stopera,1,1,1,"The Municipal Theatre & City Hall, a cultural center that houses two of Amsterdam's main performance venues, the Stadsschouwburg and the Muziektheater.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/60/Stopera.jpg,
37,4.9012,52.3789,"Oosterdok 2, 1011 VX Amsterdam, Netherlands",NEMO Science Museum ,0,1,1,A hands-on science museum that aims to make science and technology accessible and fun for visitors of all ages.,indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR8JtiN4r-NzTwsZH0C72oNC7lLphOrGWgzM1oY-mzcIuRNDvGX3EYQ1kpIElMOzXGQEI&usqp=CAU,
38,4.894,52.3728,"Begijnhof 47, 1012 WC Amsterdam, Netherlands",The Begijnhof ,1,1,1,"A secluded courtyard that was once home to a Catholic sisterhood, now it's a peaceful oasis in the heart of the city that features a chapel and several historic houses.",outdoor,https://upload.wikimedia.org/wikipedia/commons/7/7d/BegijnhofAmsterdamPanorama.jpg,
39,4.8952,52.374,"Prinsengracht 279, 1016 GW Amsterdam, Netherlands",The Westerkerk,1,1,0,A 17th-century Dutch Reformed church that is known for its beautiful architecture and its association with famous figures like Rembrandt and Anne Frank,indoor,https://upload.wikimedia.org/wikipedia/commons/a/a0/Amsterdam_%28NL%29%2C_Westerkerk_--_2015_--_7186.jpg,
41,4.8934,52.3668,"Singel, 1012 DH Amsterdam, Netherlands",The Flower Market ,1,1,1,"An outdoor market that specializes in flowers, bulbs, and other horticultural products, as well as souvenirs and other items.",outdoor,https://www.eatingeurope.com/wp-content/uploads/2018/08/campodefiori-rome-food.jpg,
42,4.9061,52.3625,"Amstel 3, 1011 PN Amsterdam, Netherlands",The Dutch National Opera & Ballet ,1,1,1,"A national theater and opera house that features performances of traditional and contemporary works, as well as ballet and other dance performances.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgj0Yu3rsAlhrpIFhydL8-lp2fSaA5xUEp8uavmKesxocAiM0RISlhI1wrk8KML3lMcDQ&usqp=CAU,
43,4.9288,52.3586,"Plantage Middenlaan 2A, 1018 DD Amsterdam, Netherlands",The Hortus Botanicus Amsterdam,1,1,0,"A botanical garden that features a wide variety of plants, including tropical and subtropical species, as well as a library and research center.",outdoor,https://a.cdn-hotels.com/gdcs/production61/d407/4e9a5777-f370-497e-9259-ac24a941f973.jpg,
44,4.8942,52.3701,"Oudezijds Achterburgwal 148, 1012 DW Amsterdam, Netherlands",The Amsterdam Pipe Museum,0,1,1,"A museum that explores the history and culture of smoking pipes and pipe-making, with a collection of pipes from around the world.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyCXq9voCcSt8DyAqCnOsoffuZ-E4U-taCR9Ez5halfzgoBYbOLJu-UsE96XH8tdTjICs&usqp=CAU,
46,4.901,52.369,"Prinsengracht 116, 1015 EA Amsterdam, Netherlands",The Amsterdam Tulip Museum,1,1,0,"A museum that explores the history and culture of tulips, with a collection of tulip-related artifacts and interactive exhibits.",indoor,https://www.amsterdam.info/photos/content/presentation/1390577000-amsterdam-museum-tulip-e.jpg,
47,4.8995,52.3673,various locations throughout the city,The Jewish Cultural Quarter,0,1,1,"A museum that explores the history and culture of tulips, with a collection of tulip-related artifacts and interactive exhibits.",outdoor,https://www.tcataxi.nl/wp-content/uploads/2019/06/final_S_DSC1792-1.jpg,
49,4.8965,52.3655,"Westerstraat 106, 1015 MN Amsterdam, Netherlands",The Pianola Museum,1,1,1,"A museum that explores the history and technology of the pianola, a type of player piano, with a collection of pianolas, rolls and other related items.",indoor,https://www.pianola.nl/Pianola_Museum/Welcome_files/SalonPM.jpg,
50,4.8669,52.3865,"Spaarndammerplantsoen 140, 1013 XT Amsterdam, Netherlands",The Museum Het Schip,1,1,1,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://www.hetschip.nl/images/headers/Het-Schip_Marcel-Westhoff_MWFF9004C_1920.jpg,
,,,,,,,,,,,
,,,,,,,,,,,
